📺测试频道,#genre#
東森購物2台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=4gtv-4gtv103
Focus探索新知台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii82
鄉民大學問,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii83
社會NOW什麼,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii85
倪珍報星座,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii86
《錦繡安寧》預告花絮,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii88
泰可愛旋風,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii89
演唱會直擊,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii91
健康問良醫,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii92
Freeman @台灣,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii95
饕客揪愛吃,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii96
人氣動漫預告,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii97
銀髮聚樂部,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii99
生命的贏家,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii192
電動車時代,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii215
SiCAR愛車酷,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii216
狂人日誌,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii217
脖子解說 Mr. Neck,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii218
紓壓雷雨聲,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii250
療癒下雨聲,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii251
放鬆的爵士午後,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii252
野外燒柴火聲,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii253
夏日陽光海浪聲,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii254
電影,#genre#
parse=1 
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
哆啦Ａ夢台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii22
龍華經典台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn21
Golden 強片台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii70
龍華電影台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn03
周星馳台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii73
歐飛電影台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii74
歐飛喜劇電影台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii75
戲劇,#genre#
parse=1 
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
公視金獎台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii13
經典劇場,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii38
龍華戲劇台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn18
台灣戲劇台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn22
龍華偶像台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn12
龍華日韓台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=litv-longturn11
Focus風采戲劇台,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii1048
錦繡安寧,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii100
琅琊榜,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii101
扶搖,http://tv4g.130707.xyz/446f75626c65303031/index.m3u8?pid=ofiii102
